Gen0

VEHICLE
NUMBER     CAPACITY
25     1000

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

    0    65    98    0    0    1000    0
    1    36    93    25    302    603    10
    2    72    43    12    500    574    10
    3    87    24    32    395    826    10
    4    10    43    8    768    910    10
    5    80    81    13    439    829    10
    6    60    42    18    274    486    10
    7    39    58    7    469    768    10
    8    77    79    19    570    895    10
    9    30    76    19    939    947    10
    10    40    97    10    280    884    10
    11    32    51    3    429    705    10
    12    94    98    13    906    960    10
    13    93    80    12    761    956    10
    14    31    68    23    182    666    10
    15    4    19    9    427    889    10
    16    77    79    23    58    125    10
    17    55    75    2    826    964    10
    18    70    29    19    217    473    10
    19    53    6    8    665    714    10
    20    98    46    18    86    283    10
    21    0    20    7    433    748    10
    22    70    24    23    754    914    10
    23    59    22    4    620    912    10
    24    96    19    29    861    904    10
    25    83    3    15    527    580    10
    26    48    19    5    707    907    10
    27    65    74    7    650    965    10
    28    99    34    40    721    916    10
    29    32    74    7    485    504    10
    30    37    68    17    613    819    10
    31    76    76    26    60    216    10
    32    2    46    19    392    684    10
    33    80    77    30    34    217    10
    34    16    43    32    132    313    10
    35    42    72    19    540    611    10
    36    67    71    11    941    962    10
    37    61    50    5    347    449    10
    38    31    42    13    459    703    10
    39    78    95    21    731    975    10
    40    25    94    13    894    949    10
    41    12    23    7    238    313    10
    42    88    59    33    204    442    10
    43    89    72    25    322    412    10
    44    56    29    15    885    919    10
    45    20    20    8    284    477    10
    46    26    36    4    465    695    10
    47    97    32    8    425    680    10
    48    97    56    20    362    520    10
    49    68    3    28    657    812    10
    50    24    11    26    146    149    10
    51    28    67    22    458    486    10
    52    47    37    13    75    79    10
    53    84    5    28    805    894    10
    54    18    28    3    710    838    10
    55    30    29    18    506    911    10
    56    74    18    21    785    909    10
    57    25    19    3    245    754    10
    58    44    35    16    433    923    10
    59    37    31    25    586    798    10
    60    79    22    10    811    911    10
    61    71    11    12    119    238    10
    62    49    40    20    162    563    10
    63    96    12    21    156    175    10
    64    16    87    23    768    938    10
    65    15    0    2    506    711    10
    66    79    53    29    227    449    10
    67    93    8    29    621    652    10
    68    79    34    19    433    574    10
    69    10    92    29    840    933    10
    70    99    23    13    398    563    10
    71    98    39    2    221    300    10
    72    39    80    26    157    488    10
    73    36    85    14    381    561    10
    74    0    81    16    799    921    10
    75    35    32    2    615    747    10
    76    81    71    6    312    444    10
    77    40    60    8    458    526    10
    78    88    89    14    680    876    10
    79    13    60    12    373    663    10
    80    76    49    4    761    813    10
    81    1    48    18    905    907    10
    82    47    96    7    380    419    10
    83    76    90    14    117    276    10
    84    94    0    10    637    743    10
    85    75    22    15    269    299    10
    86    8    44    30    908    910    10
    87    85    7    15    475    896    10
    88    27    20    4    813    902    10
    89    7    40    16    322    856    10
    90    32    5    17    289    645    10
    91    59    34    5    583    598    10
    92    97    51    14    267    598    10
    93    72    28    8    809    914    10
    94    84    35    15    854    857    10
    95    22    28    11    448    624    10
    96    61    15    8    374    548    10
    97    57    3    1    680    759    10
    98    64    20    16    371    880    10
    99    96    5    3    330    607    10
    100    24    66    24    318    338    10
