Gen8

VEHICLE
NUMBER     CAPACITY
30     200

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    11    56    0    0    1000    0
1    94    66    24    483    520    10
2    92    0    35    481    566    10
3    42    47    6    62    224    10
4    58    83    29    144    200    10
5    63    90    38    425    827    10
6    27    25    4    301    761    10
7    55    99    11    653    861    10
8    40    31    28    574    654    10
9    32    60    2    54    389    10
10    48    63    31    321    397    10
11    94    18    11    403    817    10
12    52    14    5    775    924    10
13    3    93    13    868    951    10
14    87    74    10    594    779    10
15    57    20    12    79    235    10
16    47    10    2    187    480    10
17    38    14    8    293    462    10
18    65    6    14    476    560    10
19    92    68    28    847    906    10
20    2    99    5    791    844    10
21    85    23    17    780    908    10
22    86    91    26    827    897    10
23    86    30    3    658    698    10
24    82    4    35    407    736    10
25    80    39    30    258    316    10
26    52    9    24    753    925    10
27    54    1    16    696    918    10
28    3    0    21    78    188    10
29    33    97    38    705    822    10
30    43    37    9    552    785    10
31    29    79    8    871    959    10
32    47    84    26    369    402    10
33    75    49    17    877    923    10
34    49    18    11    724    793    10
35    64    62    19    628    934    10
36    15    96    18    187    286    10
37    26    82    20    588    641    10
38    32    29    22    539    665    10
39    99    85    20    669    838    10
40    29    63    22    703    747    10
41    44    28    25    927    945    10
42    37    13    31    394    459    10
43    11    83    7    741    877    10
44    67    50    19    447    841    10
45    42    47    7    656    699    10
46    10    0    18    391    527    10
47    1    50    21    424    506    10
48    86    10    30    755    900    10
49    40    70    11    531    956    10
50    24    16    35    643    946    10
51    85    88    5    684    695    10
52    76    21    19    850    914    10
53    86    47    3    186    257    10
54    71    67    3    797    829    10
55    23    5    17    84    499    10
56    22    70    34    180    382    10
57    46    4    21    324    483    10
58    65    65    7    77    153    10
59    48    30    6    805    887    10
60    32    38    13    712    829    10
61    8    16    2    717    948    10
62    43    20    23    581    941    10
63    69    85    20    594    640    10
64    38    89    10    719    825    10
65    60    77    9    772    935    10
66    98    55    12    670    901    10
67    47    93    13    72    514    10
68    76    43    23    634    792    10
69    42    71    14    220    424    10
70    67    41    6    722    930    10
71    4    76    5    33    610    10
72    27    42    3    902    967    10
73    43    56    17    411    708    10
74    36    81    25    753    953    10
75    56    17    22    170    191    10
76    62    26    22    706    844    10
77    75    27    33    678    867    10
78    5    47    8    789    978    10
79    41    67    15    310    871    10
80    93    40    11    608    662    10
81    74    34    38    568    922    10
82    69    9    7    547    676    10
83    26    24    19    681    900    10
84    32    2    20    845    931    10
85    15    88    8    602    883    10
86    98    76    1    139    190    10
87    54    29    8    716    796    10
88    20    83    16    32    372    10
89    36    12    24    420    938    10
90    44    6    17    207    811    10
91    97    7    4    517    534    10
92    5    42    11    199    343    10
93    65    10    1    379    526    10
94    27    14    4    648    878    10
95    27    1    5    144    552    10
96    8    35    18    55    274    10
97    14    67    36    405    544    10
98    57    9    21    320    897    10
99    83    32    3    777    912    10
100    72    37    7    606    924    10
