Gen4

VEHICLE
NUMBER     CAPACITY
25     1000

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

    0    68    59    0    0    1000    0
    1    12    98    23    140    178    10
    2    11    95    24    256    412    10
    3    82    19    29    260    278    10
    4    65    1    7    858    931    10
    5    90    12    13    139    451    10
    6    90    13    3    932    938    10
    7    18    78    14    622    927    10
    8    24    16    6    354    370    10
    9    74    85    7    604    656    10
    10    46    89    9    432    655    10
    11    55    8    7    420    465    10
    12    85    36    26    414    595    10
    13    17    62    1    401    895    10
    14    79    74    24    472    924    10
    15    58    92    7    762    954    10
    16    14    8    7    203    276    10
    17    66    36    12    354    529    10
    18    47    73    3    176    205    10
    19    77    27    17    465    544    10
    20    75    44    15    69    306    10
    21    86    93    5    361    773    10
    22    99    99    12    933    938    10
    23    70    24    20    302    506    10
    24    14    18    15    178    204    10
    25    97    32    18    167    263    10
    26    26    53    34    655    658    10
    27    63    33    9    389    595    10
    28    3    82    25    421    533    10
    29    30    10    7    819    926    10
    30    30    4    13    723    922    10
    31    94    70    35    928    961    10
    32    3    54    13    700    923    10
    33    44    39    2    324    327    10
    34    22    75    18    796    888    10
    35    36    53    20    744    956    10
    36    11    31    18    479    643    10
    37    2    93    30    754    914    10
    38    30    93    23    867    937    10
    39    36    90    18    857    944    10
    40    65    63    27    718    759    10
    41    84    61    33    716    972    10
    42    53    71    4    530    642    10
    43    89    0    15    464    559    10
    44    78    49    23    692    755    10
    45    31    9    14    263    769    10
    46    64    2    22    302    435    10
    47    59    73    3    390    535    10
    48    63    29    13    906    946    10
    49    42    12    15    865    935    10
    50    35    39    15    812    950    10
    51    88    6    4    233    574    10
    52    89    36    32    338    881    10
    53    41    21    12    819    942    10
    54    67    77    7    512    702    10
    55    65    69    35    256    506    10
    56    73    9    7    227    370    10
    57    17    19    19    661    783    10
    58    84    34    11    615    862    10
    59    10    6    13    362    502    10
    60    36    60    24    750    806    10
    61    94    30    23    133    145    10
    62    36    75    29    288    367    10
    63    96    24    1    289    695    10
    64    12    15    6    498    518    10
    65    8    53    6    150    805    10
    66    26    61    6    925    946    10
    67    98    42    26    328    578    10
    68    1    75    20    497    637    10
    69    43    74    8    145    323    10
    70    93    45    23    275    430    10
    71    49    0    7    611    781    10
    72    73    22    5    833    952    10
    73    88    19    1    681    944    10
    74    90    0    7    102    382    10
    75    3    69    2    595    717    10
    76    93    83    8    405    542    10
    77    24    53    30    816    906    10
    78    63    20    23    290    544    10
    79    52    97    33    639    947    10
    80    40    82    30    591    838    10
    81    62    56    14    303    552    10
    82    83    90    14    859    875    10
    83    91    90    2    215    696    10
    84    71    96    31    719    951    10
    85    89    16    10    824    941    10
    86    19    94    13    463    649    10
    87    96    93    26    689    745    10
    88    5    35    4    691    755    10
    89    37    24    8    454    942    10
    90    93    77    6    420    553    10
    91    55    7    13    433    620    10
    92    73    72    19    652    923    10
    93    27    3    1    138    477    10
    94    43    26    14    77    80    10
    95    58    16    18    104    345    10
    96    60    37    16    552    757    10
    97    6    69    16    868    925    10
    98    8    1    10    543    905    10
    99    40    84    19    370    696    10
    100    80    35    3    134    585    10
