Gen8

VEHICLE
NUMBER     CAPACITY
30     70

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    71    19    0    0    1000    0
1    2    46    22    554    879    10
2    23    20    7    174    367    10
3    93    19    10    778    788    10
4    21    1    28    710    936    10
5    93    96    20    606    807    10
6    36    72    13    342    397    10
7    2    10    8    441    920    10
8    48    5    5    838    885    10
9    84    81    14    233    367    10
10    9    7    15    629    862    10
11    20    87    20    136    203    10
12    79    84    8    811    923    10
13    77    46    12    48    105    10
14    81    27    20    642    948    10
15    51    62    23    632    866    10
16    81    31    15    580    597    10
17    46    30    36    103    643    10
18    23    61    1    304    416    10
19    83    74    30    386    636    10
20    94    80    23    251    833    10
