Gen8

VEHICLE
NUMBER     CAPACITY
30     200

CUSTOMER
CUST NO.     XCOORD.     YCOORD.     DEMAND     READY TIME     DUE DATE     SERVICE TIME

0    66    66    0    0    1000    0
1    86    93    10    673    742    10
2    92    20    23    618    675    10
3    63    70    33    245    568    10
4    77    10    12    150    411    10
5    81    51    5    683    692    10
6    45    24    23    845    916    10
7    23    93    9    326    938    10
8    9    10    28    356    909    10
9    38    66    16    668    927    10
10    80    5    8    211    384    10
11    11    88    9    181    384    10
12    14    80    22    573    585    10
13    57    6    13    750    927    10
14    55    1    15    835    922    10
15    98    13    21    726    872    10
16    89    94    24    779    952    10
17    51    50    9    719    967    10
18    88    10    19    840    915    10
19    20    85    25    267    855    10
20    26    93    25    324    473    10
21    17    14    28    883    908    10
22    83    2    17    408    921    10
23    34    43    19    613    949    10
24    94    91    1    799    853    10
25    46    86    25    331    619    10
26    11    72    21    131    379    10
27    99    72    26    543    834    10
28    92    86    24    395    559    10
29    4    19    17    423    910    10
30    34    27    23    804    909    10
31    37    23    16    395    489    10
32    66    29    13    353    535    10
33    6    0    20    587    802    10
34    1    36    18    350    917    10
35    24    85    9    868    943    10
36    67    44    15    288    556    10
37    8    43    26    752    757    10
38    21    95    24    717    936    10
39    39    75    18    120    572    10
40    16    1    18    704    906    10
41    79    57    12    367    972    10
42    3    35    6    604    919    10
43    0    19    1    897    907    10
44    54    24    27    457    778    10
45    49    26    5    373    394    10
46    25    64    6    282    767    10
47    94    37    15    321    563    10
48    70    82    21    268    380    10
49    12    28    11    739    923    10
50    85    9    26    243    252    10
51    94    97    26    745    759    10
52    94    37    29    449    501    10
53    14    22    26    82    410    10
54    66    34    11    620    861    10
55    28    82    5    321    481    10
56    41    60    16    314    587    10
57    72    27    1    652    948    10
58    59    39    15    128    808    10
59    68    41    5    854    898    10
60    52    52    31    173    228    10
61    19    32    15    780    931    10
62    44    26    5    285    368    10
63    36    55    20    87    530    10
64    33    28    13    341    394    10
65    54    31    3    193    196    10
66    52    47    25    700    843    10
67    63    26    6    437    541    10
68    88    24    1    894    940    10
69    39    54    19    270    322    10
70    79    76    1    615    762    10
71    78    68    4    152    519    10
72    80    21    9    657    681    10
73    46    51    6    279    372    10
74    13    89    34    649    931    10
75    1    69    11    244    629    10
76    59    3    17    384    532    10
77    72    72    27    70    651    10
78    89    33    22    742    835    10
79    14    28    19    365    587    10
80    59    91    30    657    928    10
81    34    44    6    164    678    10
82    60    43    16    491    576    10
83    13    82    10    501    739    10
84    14    61    12    883    936    10
85    49    71    6    52    112    10
86    52    40    8    616    811    10
87    61    27    8    378    394    10
88    95    50    1    634    955    10
89    98    12    9    291    391    10
90    88    80    28    508    729    10
91    27    82    8    187    419    10
92    61    1    23    603    923    10
93    93    23    17    452    488    10
94    34    72    23    103    383    10
95    48    0    16    752    900    10
96    99    40    32    907    934    10
97    56    66    23    324    422    10
98    34    55    14    530    855    10
99    25    58    23    455    691    10
100    24    63    18    280    307    10
